scenario,mode,status,runs,main_median_ms,current_median_ms,elapsed_ms_delta_mean,elapsed_ms_delta_min,elapsed_ms_delta_max,instructions_delta_mean,instructions_delta_min,instructions_delta_max,cycles_delta_mean,cycles_delta_min,cycles_delta_max
invoice_doc_generator,optimize,ok,10,16608.0,16409.0,-0.7945830763760853,-2.766584471041078,1.2822078397850767,0.017374835491978935,-0.04763462926286044,0.12511426762218392,-0.6374399857164148,-2.1110061976876704,1.2161363985935036
json_parse,plain,ok,10,237.0,235.0,-1.2552945536868387,-2.941176470588236,0.0,1.3447290421585079,1.321669131646508,1.3676017102259186,-0.2362010204193088,-0.8692090029636113,1.485640197770488
json_parse,optimize,ok,10,233.0,235.0,0.38140433727715806,-2.500000000000002,4.31034482758621,3.747916421385451,3.736936966637816,3.7638944375776973,3.5453489270904903,1.6497591646011722,5.717667963113016
json_write,plain,ok,10,247.0,257.0,3.136310587818172,1.9685039370078705,4.048582995951411,4.0568762572178985,4.054626841028486,4.058905065175011,2.9977099973592525,1.8946792692996706,4.316794935252566
json_write,optimize,ok,10,235.0,261.0,11.458944194661443,2.7667984189723382,17.24137931034482,13.138489144364813,13.135405155049984,13.141291925658294,13.070342549735413,6.216020633445951,18.962853515380964
pi_leibniz,plain,ok,10,215.0,196.0,-8.702097856351365,-15.41850220264317,-3.864734299516903,-2.5988987419704768,-2.599791532364204,-2.5984083935928437,-7.524100340855395,-16.205247852285176,-2.9482379207201093
pi_leibniz,optimize,ok,10,189.0,180.0,-2.5220006440611153,-5.851063829787229,4.324324324324325,-2.9963407527558727,-2.997147128960298,-2.995368000911358,-1.2560389532329785,-6.321126613342887,6.480825543267588
pi_leibniz_15,plain,ok,10,274.0,274.0,0.40714219392594897,-3.2258064516129004,4.166666666666674,-1.5978997005803652,-1.5980458747415827,-1.5978002556964688,0.28562586392874456,-2.399002187570609,3.5998874271542247
pi_leibniz_15,optimize,ok,10,252.0,245.0,-2.6147105708285845,-3.937007874015752,-1.9841269841269882,-2.1058038236369625,-2.1060809761250687,-2.105370403321394,-1.8530832776977957,-2.593095589699612,-1.5317675921944995
regexp,plain,ok,10,70.0,72.0,0.8688845401174117,-1.3698630136986356,2.857142857142847,0.6392887682604664,0.6358571914601763,0.6453803301041061,0.7900461409868553,-1.8769808470696425,4.30932563755233
regexp,optimize,ok,10,70.0,70.0,1.4885245561117366,-4.109589041095896,5.797101449275366,0.6392790637748202,0.636628430936792,0.6406111954296412,-0.7098902286794484,-3.788684837593581,4.383413174774686
simple_parquet_reader,plain,ok,10,390.0,427.0,10.534511795252929,7.286432160804024,12.82051282051282,4.908068645211783,4.87870361716316,4.966645165035777,10.752236275766688,7.559759280449629,13.120637806192725
simple_parquet_reader,optimize,ok,10,389.0,410.0,5.71838345572679,4.591836734693877,7.455012853470433,2.600666928015878,2.5887856176618484,2.6447474096485513,6.221041690497464,4.761744775235854,6.960896504696779
str_concat,plain,ok,10,1.0,2.0,40.0,-50.0,100.0,5.452372493397024,5.4464658492321405,5.457544494786926,6.236373496527858,3.6454106880913217,7.871299247564401
str_concat,optimize,ok,10,2.0,2.0,10.0,-50.0,100.0,5.449700206641657,5.4360484952233445,5.46195522724795,7.365788379199478,0.11425299021297075,20.130253697574375
str_find,plain,ok,10,283.0,311.0,10.287222245070398,3.472222222222232,16.607773851590114,0.013427401112771076,-0.6164634671287694,0.29505374976628307,11.26014861860344,3.8961768187816714,17.319859982248296
str_find,optimize,ok,10,269.0,302.0,11.79739017723907,7.835820895522394,15.753424657534243,-0.21899829442311614,-0.9011581053881002,0.25418045637066733,11.965166147684329,7.726245088433292,15.738081863615294
str_index,plain,ok,10,60.0,63.0,7.067796610169497,3.3333333333333437,13.559322033898313,1.7543173775443188,1.7527663375350278,1.755166364565497,7.161607807645738,4.707250917936134,13.167975009654832
str_index,optimize,ok,10,61.0,65.0,5.8963511369645705,1.6129032258064502,11.475409836065564,1.7563439642283107,1.7548670046178882,1.7582128518667028,5.844376150543504,2.2282679283575746,12.2086504647696
table_compare,plain,ok,6,4595.0,3055.0,-33.343602458122675,-35.08883248730964,-31.427285006753714,-12.01818106679727,-12.049741469283926,-11.975894581333469,-26.187167787107214,-27.27582171559373,-25.255612049477584
table_compare,optimize,ok,6,4442.0,3174.0,-28.731038038183275,-30.443639655952914,-26.94732102656461,-11.656460533922807,-11.672260130227563,-11.636826654045185,-23.564272907082987,-25.063517253776723,-22.435871144313204
table_compare2,plain,ok,6,780.0,786.0,-0.8174693245961094,-6.451612903225811,3.2299741602067167,1.1584804107303892,1.1326148155282878,1.1800073386768473,3.700013327501598,-0.1412111206721578,6.776888458774333
table_compare2,optimize,ok,6,773.0,795.0,2.8539649608714837,1.9230769230769162,3.5340314136125706,0.6373355524025811,0.622904891791487,0.6640209758188131,4.931196334587947,3.9420594096165607,6.684983062476646
table_save_load,plain,ok,6,1308.0,1286.0,0.7543835706839771,-4.504504504504503,8.449612403100781,0.7468609725866197,0.7445799364188321,0.750985791589942,2.0924136327725753,-1.138520804162202,5.30930071335447
table_save_load,optimize,ok,6,1342.0,1305.0,-2.0840560901561687,-3.2786885245901676,-0.6531204644412147,0.5302933733595175,0.5217268312886159,0.5379312788098334,0.3072280527322446,-0.7304253669769833,1.9387782149232091
table_sort,plain,ok,10,69.0,74.0,8.16331750091341,2.898550724637672,17.647058823529417,0.8384757699648393,0.8224240788600623,0.8821118259327854,2.413157035697142,-0.37025049201113713,4.610733457108851
table_sort,optimize,ok,10,71.0,73.0,2.829197406662194,-2.777777777777779,5.555555555555558,0.661809363746424,0.6532151813067877,0.6942436935412744,1.2994655568498836,-0.8025944206933144,3.755451696823786
table_total,plain,ok,10,52.0,56.0,7.794850247791429,1.7857142857142794,12.00000000000001,2.463083774730177,2.2586662081710784,2.6083996757901406,7.259750388190196,0.11355707585762875,10.456957365699736
