scenario,mode,pair,side,status,elapsed_ms,wall_seconds,instructions,cycles,control_sha256,files_sha256
csv_write,optimize,2,main,ok,1075.0,1.106528,9843580829,4884656341,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7d911fa93ce19ee4052aa99acd9f191ec8ece6bb2bae2b20a56ae05298ad196d
csv_write,optimize,3,main,ok,653.0,0.683953,9843572866,2949201668,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7d911fa93ce19ee4052aa99acd9f191ec8ece6bb2bae2b20a56ae05298ad196d
csv_write,optimize,3,current,ok,688.0,0.722371,10015405548,3123245592,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7d911fa93ce19ee4052aa99acd9f191ec8ece6bb2bae2b20a56ae05298ad196d
csv_write_batched,plain,1,main,ok,46.0,0.079353,730743400,215116170,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7d911fa93ce19ee4052aa99acd9f191ec8ece6bb2bae2b20a56ae05298ad196d
csv_write_batched,plain,1,current,ok,50.0,0.080819,752002056,233300351,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7d911fa93ce19ee4052aa99acd9f191ec8ece6bb2bae2b20a56ae05298ad196d
csv_write_batched,plain,2,current,ok,53.0,0.084875,751967675,233798265,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7d911fa93ce19ee4052aa99acd9f191ec8ece6bb2bae2b20a56ae05298ad196d
csv_write_batched,plain,2,main,ok,48.0,0.078103,730747435,213953791,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7d911fa93ce19ee4052aa99acd9f191ec8ece6bb2bae2b20a56ae05298ad196d
csv_write_batched,plain,3,main,ok,46.0,0.078575,730738712,212707501,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7d911fa93ce19ee4052aa99acd9f191ec8ece6bb2bae2b20a56ae05298ad196d
csv_write_batched,plain,3,current,ok,50.0,0.08199,751979691,230922696,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7d911fa93ce19ee4052aa99acd9f191ec8ece6bb2bae2b20a56ae05298ad196d
csv_write_batched,optimize,1,main,ok,40.0,0.071767,659584120,187571999,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7d911fa93ce19ee4052aa99acd9f191ec8ece6bb2bae2b20a56ae05298ad196d
csv_write_batched,optimize,1,current,ok,39.0,0.072453,676609606,189456466,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7d911fa93ce19ee4052aa99acd9f191ec8ece6bb2bae2b20a56ae05298ad196d
csv_write_batched,optimize,2,current,ok,41.0,0.074035,676625889,191391685,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7d911fa93ce19ee4052aa99acd9f191ec8ece6bb2bae2b20a56ae05298ad196d
csv_write_batched,optimize,2,main,ok,41.0,0.072489,659582389,189266597,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7d911fa93ce19ee4052aa99acd9f191ec8ece6bb2bae2b20a56ae05298ad196d
csv_write_batched,optimize,3,main,ok,41.0,0.073688,659579316,188790071,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7d911fa93ce19ee4052aa99acd9f191ec8ece6bb2bae2b20a56ae05298ad196d
csv_write_batched,optimize,3,current,ok,42.0,0.073715,676605629,194240918,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,7d911fa93ce19ee4052aa99acd9f191ec8ece6bb2bae2b20a56ae05298ad196d
edata_writer,plain,1,main,ok,71.0,0.130363,962693458,376941992,c4f37ecd8923bc057cde654cfcc1349044387bf46446b10ba9b78566c0b1650a,0635e81195146d6e7824cc96f8ace61a82720567ca81d1d90e06fc4874f7652a
edata_writer,plain,1,current,ok,72.0,0.129888,972083154,385938288,c4f37ecd8923bc057cde654cfcc1349044387bf46446b10ba9b78566c0b1650a,0635e81195146d6e7824cc96f8ace61a82720567ca81d1d90e06fc4874f7652a
edata_writer,plain,2,current,ok,73.0,0.132426,972056568,393468831,c4f37ecd8923bc057cde654cfcc1349044387bf46446b10ba9b78566c0b1650a,0635e81195146d6e7824cc96f8ace61a82720567ca81d1d90e06fc4874f7652a
edata_writer,plain,2,main,ok,73.0,0.1307,962778944,384286157,c4f37ecd8923bc057cde654cfcc1349044387bf46446b10ba9b78566c0b1650a,0635e81195146d6e7824cc96f8ace61a82720567ca81d1d90e06fc4874f7652a
edata_writer,plain,3,main,ok,72.0,0.131647,962787049,384952134,c4f37ecd8923bc057cde654cfcc1349044387bf46446b10ba9b78566c0b1650a,0635e81195146d6e7824cc96f8ace61a82720567ca81d1d90e06fc4874f7652a
edata_writer,plain,3,current,ok,71.0,0.130922,972189314,383949762,c4f37ecd8923bc057cde654cfcc1349044387bf46446b10ba9b78566c0b1650a,0635e81195146d6e7824cc96f8ace61a82720567ca81d1d90e06fc4874f7652a
edata_writer,plain,4,current,ok,72.0,0.129608,972293405,380652710,c4f37ecd8923bc057cde654cfcc1349044387bf46446b10ba9b78566c0b1650a,0635e81195146d6e7824cc96f8ace61a82720567ca81d1d90e06fc4874f7652a
edata_writer,plain,4,main,ok,70.0,0.128404,961821082,376749190,c4f37ecd8923bc057cde654cfcc1349044387bf46446b10ba9b78566c0b1650a,0635e81195146d6e7824cc96f8ace61a82720567ca81d1d90e06fc4874f7652a
edata_writer,plain,5,main,ok,72.0,0.130152,962859616,382732065,c4f37ecd8923bc057cde654cfcc1349044387bf46446b10ba9b78566c0b1650a,0635e81195146d6e7824cc96f8ace61a82720567ca81d1d90e06fc4874f7652a
edata_writer,plain,5,current,ok,73.0,0.130823,972180424,388119253,c4f37ecd8923bc057cde654cfcc1349044387bf46446b10ba9b78566c0b1650a,0635e81195146d6e7824cc96f8ace61a82720567ca81d1d90e06fc4874f7652a
edata_writer,optimize,1,main,ok,71.0,0.129468,944404569,374999628,c4f37ecd8923bc057cde654cfcc1349044387bf46446b10ba9b78566c0b1650a,0635e81195146d6e7824cc96f8ace61a82720567ca81d1d90e06fc4874f7652a
edata_writer,optimize,1,current,ok,71.0,0.132166,959692037,387739311,c4f37ecd8923bc057cde654cfcc1349044387bf46446b10ba9b78566c0b1650a,0635e81195146d6e7824cc96f8ace61a82720567ca81d1d90e06fc4874f7652a
edata_writer,optimize,2,current,ok,72.0,0.132678,959753304,385080979,c4f37ecd8923bc057cde654cfcc1349044387bf46446b10ba9b78566c0b1650a,0635e81195146d6e7824cc96f8ace61a82720567ca81d1d90e06fc4874f7652a
edata_writer,optimize,2,main,ok,68.0,0.129546,944657917,373178243,c4f37ecd8923bc057cde654cfcc1349044387bf46446b10ba9b78566c0b1650a,0635e81195146d6e7824cc96f8ace61a82720567ca81d1d90e06fc4874f7652a
edata_writer,optimize,3,main,ok,69.0,0.130233,944364522,379153374,c4f37ecd8923bc057cde654cfcc1349044387bf46446b10ba9b78566c0b1650a,0635e81195146d6e7824cc96f8ace61a82720567ca81d1d90e06fc4874f7652a
edata_writer,optimize,3,current,ok,70.0,0.131606,960553124,386267608,c4f37ecd8923bc057cde654cfcc1349044387bf46446b10ba9b78566c0b1650a,0635e81195146d6e7824cc96f8ace61a82720567ca81d1d90e06fc4874f7652a
edata_writer,optimize,4,current,ok,69.0,0.129881,959338729,377087313,c4f37ecd8923bc057cde654cfcc1349044387bf46446b10ba9b78566c0b1650a,0635e81195146d6e7824cc96f8ace61a82720567ca81d1d90e06fc4874f7652a
edata_writer,optimize,4,main,ok,69.0,0.128975,944752117,372838827,c4f37ecd8923bc057cde654cfcc1349044387bf46446b10ba9b78566c0b1650a,0635e81195146d6e7824cc96f8ace61a82720567ca81d1d90e06fc4874f7652a
edata_writer,optimize,5,main,ok,71.0,0.131363,944365058,385311733,c4f37ecd8923bc057cde654cfcc1349044387bf46446b10ba9b78566c0b1650a,0635e81195146d6e7824cc96f8ace61a82720567ca81d1d90e06fc4874f7652a
edata_writer,optimize,5,current,ok,69.0,0.13159,959313408,378952421,c4f37ecd8923bc057cde654cfcc1349044387bf46446b10ba9b78566c0b1650a,0635e81195146d6e7824cc96f8ace61a82720567ca81d1d90e06fc4874f7652a
empty_for,plain,1,main,ok,1.5,0.046086,362235127,109198563,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
empty_for,plain,1,current,ok,1.1,0.04025,359350769,87630632,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
empty_for,plain,2,current,ok,1.0,0.040507,359370091,88321678,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
empty_for,plain,2,main,ok,1.7,0.047574,362246723,112310550,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
empty_for,plain,3,main,ok,1.6,0.04467,362250712,110213491,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
empty_for,plain,3,current,ok,1.1,0.040337,359364308,87979899,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,44136fa355b3678a1146ad16f7e8649e94fb4fc21fe77e8310c060f61caaff8a
