scenario,runtime,run,status,elapsed_ms,wall_seconds
str_concat,lua,5,ok,455.729,0.4615360019961372
str_concat,luajit,1,ok,397.84,0.4019598610466346
str_concat,luajit,2,ok,364.961,0.3693202199647203
str_concat,luajit,3,ok,359.102,0.36267755494918674
str_concat,luajit,4,ok,406.222,0.4102624770021066
str_concat,luajit,5,ok,357.963,0.3615573380375281
str_concat,python,1,ok,291.517,0.30600470292847604
str_concat,python,2,ok,292.562,0.30739059194456786
str_concat,python,3,ok,285.574,0.29915117798373103
str_concat,python,4,ok,290.192,0.3042922830209136
str_concat,python,5,ok,289.015,0.3024129898985848
str_concat,oscript,1,ok,586.0,0.8177606649696827
str_concat,oscript,2,ok,587.0,0.8288153089815751
str_concat,oscript,3,ok,572.0,0.8019369369139895
str_concat,oscript,4,ok,587.0,0.8124202879844233
str_concat,oscript,5,ok,563.0,0.8105517460498959
str_find,lua,1,ok,193.012,0.19649515498895198
str_find,lua,2,ok,191.898,0.1950030350126326
str_find,lua,3,ok,193.456,0.19664851599372923
str_find,lua,4,ok,191.879,0.194974655052647
str_find,lua,5,ok,192.003,0.19518017605878413
str_find,luajit,1,ok,24.147,0.02614252595230937
str_find,luajit,2,ok,24.853,0.02682155091315508
str_find,luajit,3,ok,24.164,0.026035935035906732
str_find,luajit,4,ok,26.031,0.029226197046227753
str_find,luajit,5,ok,24.098,0.025992495007812977
str_find,python,1,ok,48.872,0.0627113429363817
str_find,python,2,ok,48.597,0.06166634592227638
str_find,python,3,ok,47.501,0.060902050929144025
str_find,python,4,ok,47.322,0.06135992403142154
str_find,python,5,ok,47.026,0.06078388006426394
str_find,oscript,1,ok,12.0,0.43066156399436295
str_find,oscript,2,ok,11.0,0.4324582169065252
str_find,oscript,3,ok,12.0,0.4200147319352254
str_find,oscript,4,ok,12.0,0.4407980019459501
str_find,oscript,5,ok,12.0,0.42678024794440717
str_index,lua,1,ok,21.979,0.02460922603495419
str_index,lua,2,ok,24.356,0.026877501979470253
str_index,lua,3,ok,23.278,0.025820253998972476
str_index,lua,4,ok,24.178,0.02670996100641787
str_index,lua,5,ok,22.645,0.025229740072973073
str_index,luajit,1,ok,0.647,0.0025078969774767756
str_index,luajit,2,ok,0.621,0.0026776379672810435
str_index,luajit,3,ok,0.612,0.0024624570505693555
str_index,luajit,4,ok,0.601,0.0024403660790994763
str_index,luajit,5,ok,0.602,0.002371715963818133
str_index,python,1,ok,39.924,0.0534450599225238
str_index,python,2,ok,39.307,0.052348243072628975
str_index,python,3,ok,38.623,0.05133530602324754
str_index,python,4,ok,40.467,0.05333988997153938
str_index,python,5,ok,37.904,0.050980753963813186
str_index,oscript,1,ok,136.0,0.9127403850434348
str_index,oscript,2,ok,137.0,0.9247605259297416
str_index,oscript,3,ok,137.0,0.9249869670020416
str_index,oscript,4,ok,139.0,0.9250333780655637
str_index,oscript,5,ok,144.0,0.9299389410298318
